C0/date,C0/min,C0/max,C0/mean,C0/stDev,C0/sampleCount,C0/noDataCount,C0/median,C0/p10,C0/p90,C0/cloudCoveragePercent
2015-12-03T00:00:00.000Z,-0.10959053039550781,0.4323679804801941,0.028130095121838773,0.030227744090285245,1558,883,0.028073376044631004,0.006344558205455542,0.053158361464738846,100
2015-12-23T00:00:00.000Z,-0.8891966938972473,1,0.3115801946647653,0.24206086082059056,1558,657,0.3610832393169403,0.020449211820960045,0.5495662689208984,32.741398446170884
2016-01-02T00:00:00.000Z,-0.6392452716827393,1,0.25752860185814236,0.25998576918988964,1558,824,0.2735280394554138,-0.05393311381340027,0.5728065967559814,42.50681198910081
2016-01-12T00:00:00.000Z,-0.7222982048988342,1,0.2415263817457373,0.27150775672774297,1558,476,0.2518215477466583,-0.09226296097040176,0.589379072189331,54.713493530499214
2016-02-01T00:00:00.000Z,-0.6338850855827332,1,0.2296037122579431,0.21882656102344386,1558,888,0.22187499701976776,-0.0203203447163105,0.5312012434005737,82.98507462686567
2016-02-11T00:00:00.000Z,-0.010861251503229141,0.024886032566428185,0.013522336882042687,0.005752064505294653,1558,476,0.015218090265989304,0.005280574318021536,0.019108280539512634,100
2016-03-12T00:00:00.000Z,-0.3914209008216858,0.7821165919303894,0.45486950648082625,0.1671587116045987,1558,476,0.5046563148498535,0.20294468104839325,0.6156128644943237,99.26062846580402
2016-04-11T00:00:00.000Z,-1,1,0.2581015314447231,0.34754876567078546,1558,476,0.20171919465065002,-0.13255372643470764,0.7108323574066162,55.91497227356752
2016-04-21T00:00:00.000Z,-0.25765305757522583,0.6191555857658386,-0.01615860843229429,0.06597711961216692,1558,642,-0.024231743067502975,-0.07205067574977875,0.0409439280629158,100
2016-05-01T00:00:00.000Z,-1,0.8369851112365723,0.2836432757895412,0.19318113610070037,1558,554,0.26437732577323914,0.09436274319887161,0.537585437297821,79.58167330677298
2016-05-11T00:00:00.000Z,-1,1,0.4761575068796761,0.32611503335146336,1558,804,0.5637229084968567,0.05993937700986862,0.7971751689910889,14.85411140583554
2016-05-21T00:00:00.000Z,-1,1,0.4876625761820635,0.3116500468388142,1558,476,0.5963340997695923,0.00546975526958704,0.785510241985321,19.9630314232902
2016-06-10T00:00:00.000Z,-1,1,0.41748805103226144,0.31458404409481466,1558,476,0.47701582312583923,-0.01619870401918888,0.7505795359611511,25.04621072088724
2016-06-20T00:00:00.000Z,-0.7564045190811157,1,0.1985971078792769,0.3160066314648333,1558,760,0.1595391035079956,-0.16959063708782196,0.6357406377792358,62.15538847117795
2016-06-30T00:00:00.000Z,-1,1,0.10394490713243337,0.25732230181128696,1558,476,0.05611905828118324,-0.1443329155445099,0.5014645457267761,77.35674676524953
2016-07-10T00:00:00.000Z,-0.9661529064178467,1,0.307318866996435,0.3200558307917618,1558,541,0.3485576808452606,-0.11609840393066406,0.6649746298789978,41.69124877089481
2016-07-20T00:00:00.000Z,-0.45098039507865906,0.7691926956176758,0.18809217072196152,0.14336675852342037,1558,476,0.17176765203475952,0.04616260156035423,0.38311687111854553,95.19408502772644
2016-07-30T00:00:00.000Z,-1,1,0.5049581893470969,0.282397723019928,1558,608,0.6041666865348816,0.1217808797955513,0.7297016978263855,9.684210526315782
2016-08-09T00:00:00.000Z,-0.7760236859321594,1,0.47670206839847945,0.2597733280764727,1558,476,0.5462450385093689,0.12483131140470505,0.7267315983772278,21.34935304990758
2016-08-19T00:00:00.000Z,-0.6517549753189087,0.9191452264785767,0.5149620807448985,0.2107945118184014,1558,828,0.564778208732605,0.3080967366695404,0.6685367226600647,0
2016-08-29T00:00:00.000Z,-0.6076134443283081,1,0.2656224938715799,0.2785110901293098,1558,476,0.30677175521850586,-0.10357389599084854,0.5927185416221619,47.781885397412225
2016-09-08T00:00:00.000Z,-1,0.9130018949508667,0.4191263792467832,0.21949673744980658,1558,850,0.463878333568573,0.16106922924518585,0.5974395275115967,1.5536723163841824
2016-09-18T00:00:00.000Z,-0.8259999752044678,0.9816465377807617,0.37244226002848096,0.20919462699482266,1558,476,0.41963598132133484,0.05517762526869774,0.5794432759284973,13.493530499075801
2016-09-28T00:00:00.000Z,-0.9450897574424744,1,0.2261470421841934,0.2811144442504132,1558,818,0.2806108593940735,-0.14004914462566376,0.5485458374023438,48.78378378378386
2016-10-08T00:00:00.000Z,0.005338612012565136,0.028309008106589317,0.02200612587537514,0.0024277652850503,1558,476,0.022110162302851677,0.019661761820316315,0.02469213679432869,100
2016-10-18T00:00:00.000Z,-1,0.9312372803688049,0.5208796184322092,0.20924940758954072,1558,611,0.5677754878997803,0.3221578896045685,0.6907808780670166,0.10559662090813104
2016-10-28T00:00:00.000Z,-1,0.7453415989875793,0.3186257357713196,0.21912933373450605,1558,476,0.37893182039260864,0.012042083777487278,0.5476618409156799,100
2016-11-07T00:00:00.000Z,-0.6018497943878174,0.873812735080719,0.31449286477649313,0.19441672450675535,1558,549,0.354000985622406,0.030129944905638695,0.5309917330741882,98.61248761149655
2016-11-17T00:00:00.000Z,-0.1431620717048645,0.2337774634361267,0.020045800400374302,0.05492869541507704,1558,476,0.003729078220203519,-0.03126498684287071,0.10411175340414047,100
2016-11-27T00:00:00.000Z,-1,1,0.35863661636109834,0.2928693639794473,1558,476,0.3880562484264374,-0.017634855583310127,0.6913429498672485,38.07763401109055
2016-12-07T00:00:00.000Z,-0.5602771639823914,0.788551390171051,0.24393642671281854,0.1807296661889021,1558,476,0.2545006573200226,0.024229679256677628,0.4616016447544098,100
2016-12-17T00:00:00.000Z,-0.019270047545433044,0.12677454948425293,0.05762125215088167,0.02205555739388795,1558,760,0.06024375930428505,0.027895182371139526,0.08480995893478394,100
2016-12-27T00:00:00.000Z,-0.5107526779174805,1,0.32852821680130817,0.24527414522659355,1558,476,0.3462313711643219,0.008813484571874142,0.6369529962539673,64.97227356746762
2017-01-06T00:00:00.000Z,-0.256043404340744,0.6980718374252319,0.3258705071742019,0.17444913116512042,1558,476,0.3165148198604584,0.10788138955831528,0.5701702833175659,90.4805914972273
2017-01-16T00:00:00.000Z,0.021296296268701553,0.030202683061361313,0.025705568986478314,0.0015536899042473333,1558,476,0.025931747630238533,0.02354609966278076,0.027520840987563133,100
2017-02-05T00:00:00.000Z,-0.0978543758392334,0.545364260673523,0.12231664056588447,0.06376588102358613,1558,476,0.11703892797231674,0.057274989783763885,0.18930454552173615,100
2017-02-15T00:00:00.000Z,-1,1,0.44744779259540535,0.34568068022379694,1558,476,0.5376126766204834,-0.014107477851212025,0.7939098477363586,32.53234750462103
2017-02-25T00:00:00.000Z,-0.8069705367088318,1,0.23742614601341505,0.2649979442675159,1558,712,0.19025233387947083,-0.062333714216947556,0.653751015663147,82.38770685579185
2017-03-07T00:00:00.000Z,-0.02479543723165989,0.23681023716926575,0.12936139216236844,0.04737643371510374,1558,476,0.13150222599506378,0.0620182603597641,0.18721461296081543,100
2017-03-17T00:00:00.000Z,-1,1,0.4621214759667397,0.2971105365948967,1558,636,0.5347126722335815,0.11246200650930405,0.7454545497894287,12.798264642082433
2017-03-27T00:00:00.000Z,-0.1812313050031662,0.3906043469905853,0.07765945662505926,0.05138138565856428,1558,476,0.07221672683954239,0.025653475895524025,0.13761837780475616,100
2017-04-06T00:00:00.000Z,-0.04177511855959892,0.32488834857940674,0.03038980841511363,0.015611815963586897,1558,837,0.029965564608573914,0.023407407104969025,0.03746349737048149,100
2017-04-16T00:00:00.000Z,-1,1,0.48216017745324724,0.3148951227543235,1558,476,0.5869937539100647,0.06921748071908951,0.7708134055137634,18.66913123844732
